key,type
1442,Teaching only
1443,Teaching only
1444,Teaching only
1445,Teaching only
1446,Teaching only
1447,Teaching only
1448,Teaching only
1449,Teaching only
1450,Teaching only
1451,Teaching only
1452,Teaching only
1453,Teaching only
1454,Teaching only
1455,Teaching only
1456,Teaching only
1457,Teaching only
1458,Teaching only
1459,Teaching only
1460,Teaching only
1461,Teaching only
1462,Teaching only
1463,Teaching only
1464,Teaching only
1465,Teaching only
1466,Teaching only
1467,Teaching only
1468,Teaching only
1469,Teaching only
1470,Teaching only
1471,Teaching only
1472,Teaching only
1473,Teaching only
1474,Teaching only
1475,Teaching only
1476,Teaching only
1477,Teaching only
1478,Teaching only
1479,Teaching only
1480,Teaching only
1481,Teaching only
1482,Teaching only
1483,Teaching only
1484,Teaching only
1485,Teaching only
1486,Teaching only
1487,Teaching only
1488,Teaching only
1489,Teaching only
1490,Teaching only
1491,Teaching only
1492,Teaching only
1493,Teaching only
1494,Teaching only
1495,Teaching only
1496,Teaching only
1497,Teaching only
1498,Teaching only
1499,Teaching only
1500,Teaching only
1501,Teaching only
1502,Teaching only
1503,Teaching only
1504,Teaching only
1505,Teaching only
1506,Teaching only
1507,Teaching only
1508,Teaching only
1509,Teaching only
1510,Teaching only
1511,Teaching only
1512,Teaching only
1513,Teaching only
1514,Teaching only
1515,Teaching only
1516,Teaching only
1517,Teaching only
1518,Teaching only
1519,Teaching only
1520,Teaching only
1521,Teaching only
1522,Teaching only
1523,Teaching only
1524,Teaching only
1525,Teaching only
1526,Teaching only
1527,Teaching only
1528,Teaching only
1529,Teaching only
1530,Teaching only
1531,Teaching only
1532,Teaching only
1533,Teaching only
1534,Teaching only
1535,Teaching only
1536,Teaching only
1537,Teaching only
1538,Teaching only
1539,Teaching only
1540,Teaching only
1541,Teaching only
1542,Teaching only
1543,Teaching only
1544,Teaching only
1545,Teaching only
1546,Teaching only
1547,Teaching only
1548,Teaching only
1549,Teaching only
1550,Teaching only
1551,Teaching only
1552,Teaching only
1553,Teaching only
1554,Teaching only
1555,Teaching only
1556,Teaching only
1557,Teaching only
1558,Teaching only
1559,Teaching only
1560,Teaching only
1561,Teaching only
1562,Teaching only
1563,Teaching only
1564,Teaching only
1565,Teaching only
1566,Teaching only
1567,Teaching only
1568,Teaching only
1569,Teaching only
1570,Teaching only
1571,Teaching only
1572,Teaching only
1573,Teaching only
1574,Teaching only
1575,Teaching only
1576,Teaching only
1577,Teaching only
1578,Teaching only
1579,Teaching only
1580,Teaching only
1581,Teaching only
1582,Teaching only
1583,Teaching only
1584,Teaching only
1585,Teaching only
1586,Teaching only
1587,Teaching only
1588,Teaching only
1589,Teaching only
1590,Teaching only
1591,Teaching only
1592,Teaching only
1593,Teaching only
1594,Teaching only
1595,Teaching only
1596,Teaching only
1597,Teaching only
1598,Teaching only
1599,Teaching only
1600,Teaching only
1601,Teaching only
