lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
-22.8184393,-47.0647206,Universidade Estadual de Campinas,182,-,450.5,320,0.0031620553359683794,Brazil,Brasilien,Brésil,Brasile,Brasil,Brasil,Бразилия,巴西,ブラジル,البرازيل
40.9123761,-73.1233889,Stony Brook University,382,-,250.5,320,0.0031620553359683794,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
42.9533594,-78.8182506,"University at Buffalo, The State University of New York",318,-,-,320,0.0031446540880503146,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
39.0335539,-94.5760259,University of Missouri–Kansas City,386,-,250.5,320,0.003142183817753339,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
-43.6436854,172.4677741,Lincoln University,319,-,-,320,0.003134796238244514,New Zealand,Neuseeland,Nouvelle-Zélande,Nuova Zelanda,Nueva Zelandia,Nova Zelândia,Новая Зеландия,新西兰,ニュージーランド,نيوزيلندا
56.4694917,84.9478675,Tomsk State University,323,-,-,320,0.0030959752321981426,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
49.9926403,8.2415552,Johannes Gutenberg University Mainz,398,-,250.5,320,0.0030840400925212026,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
54.3460549,10.1147022,University of Kiel,435.5,-,175.5,310,0.0032733224222585926,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
45.0624921,7.662203,Politecnico di Torino,307,-,-,310,0.003257328990228013,Italy,Italien,Italie,Italia,Italia,Itália,Италия,意大利,イタリア,إيطاليا
51.2421839,-0.5905421,University of Surrey,264,-,350.5,310,0.0032546786004882017,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
-26.190508,28.0302973,University of the Witwatersrand,364,-,250.5,310,0.0032546786004882017,South Africa,Südafrika,Afrique du Sud,Sudafrica,Sudáfrica,África do Sul,Южная Африка,南非,南アフリカ,جنوب أفريقيا
51.521975,-0.130462,"Birkbeck, University of London",308,-,-,310,0.003246753246753247,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
22.3149274,87.3105311,Indian Institute of Technology Kharagpur,308,-,-,310,0.003246753246753247,India,Indien,Inde,India,India,Índia,Индия,印度,インド,الهند
44.5637806,-123.2794443,Oregon State University,445.5,-,175.5,310,0.00322061191626409,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
48.851251,2.340761,Paris Descartes University - Sorbonne Paris Cité,445.5,-,175.5,310,0.00322061191626409,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
26.3048047,50.1498042,King Fahd University of Petroleum and Minerals,173,-,450.5,310,0.0032076984763432237,Saudi Arabia,Saudi-Arabien,Arabie Saoudite,Arabia Saudita,Arabia Saudita,Arábia Saudita,Саудовская Аравия,沙特阿拉伯,サウジアラビア,السعودية
44.6365812,-63.5916555,Dalhousie University,279,-,350.5,310,0.003177124702144559,Canada,Kanada,Canada,Canada,Canadá,Canadá,Канада,加拿大,カナダ,كندا
57.0145665,9.9818527,Aalborg University,379,-,250.5,310,0.003177124702144559,Denmark,Dänemark,Danemark,Danimarca,Dinamarca,Dinamarca,Дания,丹麦,デンマーク,الدنمارك
59.941894,30.2989199,Saint Petersburg State University,240,-,350.5,300,0.003386960203217612,Russian Federation,Russische Föderation,Fédération de Russie,Russia,Rusia,Federação Russa,Российская Федерация,俄罗斯,ロシア,روسيا
50.9295513,11.5898195,University of Jena,341,-,250.5,300,0.0033812341504649195,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
21.296939,-157.8171118,University of Hawai'i at Mañoa,341,-,250.5,300,0.0033812341504649195,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
51.52235,-0.129259,"SOAS, University of London",296,-,-,300,0.0033783783783783786,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
53.2770243,-9.0614864,NUI Galway,243,-,350.5,300,0.003369839932603201,Ireland,Irland,Irlande,Irlanda,Irlanda,Irlanda,Ирландия,爱尔兰,アイルランド,أيرلندا
34.250803,108.983693,Xi'an Jiaotong University,344,-,250.5,300,0.00336417157275021,China,China,Chine,Cina,China,China,Китай,中国,中国,الصين
22.3380838,114.1818597,Hong Kong Baptist University,299,-,-,300,0.0033444816053511705,Hong Kong,Hong Kong,Hong-Kong,Hong Kong,Hong Kong,Hong Kong,Гонконг,香港,香港,هونغ كونغ
39.6779504,-75.7506114,University of Delaware,425.5,-,175.5,300,0.0033277870216306157,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
41.6626963,-91.5548998,University of Iowa,425.5,-,175.5,300,0.0033277870216306157,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
48.4222305,9.955582,University of Ulm,357,-,250.5,300,0.0032921810699588477,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
48.7816472,9.1724985,University of Stuttgart,259,-,350.5,300,0.003281378178835111,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
